Pole_Studio,Adresse,PLZ,Stadt,Straße,Data_Option,Pole_Studio_Beschreibung,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Created Date
(INACTIVE) POLE CIRCUS Augsburg,"['Rehmstraße 4', ' 86161 Augsburg']",86161,Augsburg,Rehmstraße 4,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.", info@polecircus.de,https://www.polecircus.de,+4917670153933,https://www.eversports.de/s/pole-circus,"['1 Rezensionen', 'Poledance', 'Barre-Training', 'Stretching', 'Aerial Silk', 'Aerial Hoop']",,2024-03-24 15:07:18
-Pole-Aerial-Dance- Souldance,"['Turnerheimstraße 45 ', ' 90441 Nürnberg']",90441,Nürnberg,Turnerheimstraße 45,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Pole Dance | Aerial Dance | Flexibility | Akrobatik | Floorwork | SpecialsIm Souldance geht es um mehr als nur Sport.In unserem Studio bieten wir euch die Möglichkeit fit zu werden, dabei Spaß zu haben und vor allem eine positive Einstellung gegenüber dem eigenen Körper zu entwickeln. Bei uns hat jeder die Möglichkeit sich selbst zu entdecken und kreativ auszuleben.", info@studio-souldance.de,http://www.studio-souldance.de,,https://www.eversports.de/s/-pole-aerial-dance-souldance,"['Tanzen', 'Poledance', 'Flexibles Training', 'Akrobatik', 'Poledance', 'Tanzen', 'Poledance', 'Poledance', 'Tanzen', '73 Rezensionen', 'Tanzen', 'Poledance', 'Akrobatik', 'Floorwork', 'Chairdance', 'Aerial Dance', 'Dehnung/Flexibilität', 'Privates Training']",1 Angebot für Neukund:innen,2024-03-24 15:07:22
A heart for poledance,"['Nußbaumer Straße 6', ' 51469 Bergisch Gladbach']",51469,Bergisch,Nußbaumer Straße 6,"['Übersicht', 'Klassen', 'Trainings', 'Workshops', 'Preise', 'Team']","Poledance...

...ist mehr als nur an der Stange tanzen!
Poledance/-fitness kombiniert Tanz, Akrobatik, Kraft-/Ausdauertraining und Flexibilität. Es fordert die Körperspannung und Konzentration sowie die Koordination, so dass Poledance/-fitness zu einem Ganzkörpertraining wird.
Wir möchten Frauen und Männern Poledance näher bringen. In erster Linie möchten wir Spaß dabei haben, was jedoch mit hartem Training verbunden ist und mit einem besserem Selbstwertgefühl belohnt wird. Jeder kann an sich neue Seiten entdecken und sich selbst neu erfinden, seine neu erlernten Fähigkeiten in seinem eigenen Stil zum Ausdruck bringen. 
Unabhängig wie groß oder klein, jung oder alt man ist, sportlich oder nicht - jeder kann Poledance lernen und seine Leidenschaft dafür entdecken. Achtung! Es besteht Suchtgefahr...", info@aheartforpoledance.de,http://www.aheartforpoledance.de,+49 1634485262,https://www.eversports.de/s/a-heart-for-poledance-1,"['Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', '16 Rezensionen', 'Poledance']",Zum Stundenplan,2024-03-24 15:07:26
AIRobics,"['Holsteinischer Kamp 58 ', ' 22081 Hamburg']",22081,Hamburg,Holsteinischer Kamp 58,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Preise', 'Team']","Bei AIRobics geht es, wie der Name schon vermuten lässt, um Bewegungen in der Luft. Genauer, es ist ein Studio für Luftakrobatik und Tanz. Bei uns erlernst du atemberaubende Tricks, Kombinationen und auch ganze Choreographien an der Pole, dem Aerial Silk, dem Aerial Hoop und dem Aerial Hammock. Darüber hinaus kannst du deine Fitness und Flexibilität in verschiedenen Bodenkursen verbessern. Und an alle Eltern: AIRobics hat ein auch ein vielseitiges Angebot für Kinder!", dance@airobics.de,https://airobics.de/,+49 17621381870,https://www.eversports.de/s/airobics,"['Yoga', 'Poledance', 'Yoga', 'Poledance', 'Aerial Yoga', 'Poledance', 'Poledance', 'Akrobatik', 'Yoga', 'Poledance', '59 Rezensionen', 'Yoga', 'Poledance', 'Aerial Yoga', 'Ballett', 'Akrobatik', 'Faszientraining', 'Power Pole', 'Stretching', 'Floorwork', 'Lapdance', 'Chairdance', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Aerial Akrobatik', 'Polesport', 'Aerial Pilates', 'Tanz', 'Burlesque', 'Workout', 'Contemporary Dance', 'Aerial Hammock']",2 Angebote für Neukund:innen,2024-03-24 15:07:36
Aerial Art Poledance,"['Holzer Straße 98 ', ' 66287 Quierschied']",66287,Quierschied,Holzer Straße 98,"['Übersicht', 'Klassen', 'Workshops', 'Events', 'Videos', 'Preise', 'Team']","Das Aerial Art Poledance in ein Poledance Studio mit Sitz in Quierschied und Saarbrücken. Beide Standorte befinden sich unweit vom Ortszentrum und sind räumlich sehr großzügig gestaltet. Angeboten werden im Studio Poledancekurse für alle Niveaustufen, sowohl als Einzel- als auch als Gruppenunterricht. Das Studio kann aber auch fürs freie Training genutzt werden. Daneben wird bei Aerial Art Poledance auch Aerial Hoop, Heels Classes, Pole Conditioning und Stretching angeboten.", info@aerialart-poledance.de,http://www.aerialart-poledance.de/,01777870239,https://www.eversports.de/s/aerial-art-poledance,"['Poledance', 'Poledance', 'Poledance', 'Online Klasse', 'Online Klasse', 'Poledance', '106 Rezensionen', 'Poledance', 'Events', 'Aerial Hoop', 'Polesport', 'Heels', 'Online Klasse', 'Workshop', 'Privatstunden', 'Conditioning']",1 Angebot für Neukund:innen,2024-03-24 15:07:46
Aerial Circus,"['Zschochersche Straße 79B ', ' 04229 Leipzig']",04229,Leipzig,Zschochersche Straße 79B,"['Übersicht', 'Klassen', 'Preise', 'Team']","Hallo,und schön, dass Du auf unserer Seite gelandet bist! Seit 2015 gibt es den Aerial Circus nun schon, einen Ort, an dem Begegnung stattfindet, getanzt wird und du an verschiedensten Luftrequisiten über dich hinaus wachsen kannst. Wir haben viele spannende Kurse, regelmäßige Auftritte, tolle Trainer_Innen und natürlich Teilnehmende. In unserem 55m² Studio kannst du dich an sechs Poles, vier Vertikaltüchern (Aerial Silks) und vier Luftringen (Aerial Hoops) austoben.Für schwierigere Elemente stehen Crash-Matten bereit. Zum Kraftaufbau stellen wir ein Kletterseil, Gymnastikbälle und eine Sprossenwand zur Verfügung. Wer sich in Flexibilität steigern möchte findet ebenfalls Matten, Yogawheels, -blöcke und -gurte, sowie Faszienrollen und -bälle.Wir freuen uns sehr über neue und alte Gesichter in unserem wunderschönen Studio! Ganz herzliche Grüße,Lena und das gesamte Aerial Circus Team (mit Sina, Paula, Max, Josi, Anne, Anna und Mareen).", aerial-circus@mail.de,http://www.aerial-circus.de,+49 15774280801,https://www.eversports.de/s/aerial-circus,"['Yoga', 'Poledance', 'Yoga', 'Aerial Silk', 'Aerial Dance', 'Poledance', 'Aerial Silk', 'Luftartistik', 'Yoga', 'Poledance', '7 Rezensionen', 'Yoga', 'Poledance', 'Krafttraining', 'Akrobatik', 'Power Pole', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Hatha Yoga', 'Ashtanga Yoga', 'Tanz', 'Mobility', 'Heels', 'Dehnung/Flexibilität', 'Acro Flow', 'Fitness und Yoga', 'Exotic', 'Yoga Flow', 'Ganzkörpertraining', 'Luftartistik', 'Zirkus', 'Stretch Flow', 'Vertikaltuch', 'Luftring', 'Aktivitäten für Kinder']",Zum Stundenplan,2024-03-24 15:07:57
Aerial Loft,"['Solitudestraße 48 ', ' 71638 Ludwigsburg']",71638,Ludwigsburg,Solitudestraße 48,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Events', 'Ausbildungen', 'Videos', 'Preise', 'Team']","Du interessierst dich für Aerial Fitness wie Pole Dance oder Akrobatik mit dem Hoop? Dann nutze jetzt die Gelegenheit und komm vorbei.Wachse im Aerial Loft über dich hinaus und erlebe das Gefühl von Tanz und Akrobatik vereint. Vergiss dabei die Alltagssorgen und schüttel den Stress einfach ab. Im Aerial Loft wirst du von einem professionellen Team betreut und kannst in einem Modernen und komplett ausgestatteten Studio trainieren, das dir neben den vielen Aerial-Kursen auch viele Yoga-Kurse bietet. Ob Fortgeschritten, Anfänger oder kompletter Neuling, es gibt den perfekten Kurs für jedermann. Wirf einen Blick in unseren Stundenplan oder sprich das Team direkt an.", info@aerial-loft.de,http://www.aerial-loft.de,01733429658,https://www.eversports.de/s/aerial-loft,"['Poledance', 'Aerial Yoga', 'Personal Training', 'Poledance', 'Poledance', 'Personal Training', 'Poledance', 'Personal Training', 'Poledance', 'Personal Training', '64 Rezensionen', 'Yoga', 'Hip Hop', 'Poledance', 'Aerial Yoga', 'Ballett', 'Personal Training', 'Krafttraining', 'Stretching', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Polesport', 'Dehnung/Flexibilität', 'Ballett-Fitness']",1 Angebot für Neukund:innen,2024-03-24 15:08:02
Aerial Sportstudio,"['Hohe Straße 24', ' 04107 Leipzig']",04107,Leipzig,Hohe Straße 24,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.", elena.klyban@live.de,https://www.aerialsportstudio.de,+49 15731430746,https://www.eversports.de/s/aerial-sportstudio,"['(Noch keine Bewertungen)', 'Poledance']",,2024-03-24 15:08:32
Aerial Studio,"['Mississippidreef 2 ', ' 3565 CG Utrecht']",3565,CG,Mississippidreef 2,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.", info@aerial-studio.nl,https://www.aerial-studio.nl,+31 648539599,https://www.eversports.de/s/aerial-studio,"['Poledance', 'Aerial Yoga', 'Aerial Dance', 'Aerial Silk', 'Poledance', 'Aerial Yoga', 'Poledance', '17 Rezensionen', 'Poledance', 'Aerial Yoga', 'Aerial Silk', 'Aerial Hoop', 'Polesport', 'Sport für Schwangere', 'Burlesque', 'Workout', 'Dehnung/Flexibilität', 'Exotic', 'Contemporary Dance', 'Pole Contempo']",2 Angebote für Neukund:innen,2024-03-24 15:08:35
Aerial Studio,"['Mississippidreef 2 ', ' 3565 CG Utrecht']",3565,CG,Mississippidreef 2,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.", info@aerial-studio.nl,https://www.aerial-studio.nl,+31 648539599,https://www.eversports.de/s/aerial-studio,"['Poledance', 'Aerial Yoga', 'Aerial Dance', 'Aerial Silk', 'Poledance', 'Aerial Yoga', 'Poledance', '17 Rezensionen', 'Poledance', 'Aerial Yoga', 'Aerial Silk', 'Aerial Hoop', 'Polesport', 'Sport für Schwangere', 'Burlesque', 'Workout', 'Dehnung/Flexibilität', 'Exotic', 'Contemporary Dance', 'Pole Contempo']",2 Angebote für Neukund:innen,2024-03-24 15:08:38
