Workshopname,Preis,Einheiten,Pole Studio,URL_E
Strip `n Tease Workshop ,"ab 20,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/ypg0oSy
 Exotic Dance mit Becky*,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/EDBeHyX
  Exotic Dance mit Becky* ONLINE,"ab 35,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/54itEaz
  Bedroom Burlesque mit Lady Lou THEMA: 1920s Moon Goddess,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/rvq2QWJ
  Bedroom Burlesque mit Lady Lou THEMA: 1920s Moon Goddess ONLINE,"ab 35,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/z4rC1sa
 Twerk Mixed,"ab 35,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/AN_9D9F
  Twerk Mixed ONLINE,"ab 25,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/_kWyZFK
Burlesque mit Hurricane Irina: All things Boa,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/QPoxv4i
 Lap Dance & Strip 'n' Tease Workshop ,"ab 55,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/3yk1t8C
 Lap Dance & Strip 'n' Tease Online Workshop ,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/kVDtH76
Love on Heels - High Heel Walk & Selbstbewusstseins Workshop mit Harpy Fatale,"ab 55,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/4egslRX
Pole Dance Oster Special mit Gem ab Mittelstufe ONLINE,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/z-U6Pgj
  Pole Dance Anfänger 2 Kurs ,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/UYgHVwy
Pole Dance Oster Special mit Gem für Fortgeschrittene ONLINE,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/oDQ2eUd
"Burlesque-Workshop ""sexy Floorwork"" mit Tania Giovo ","ab 50,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/E4i5NUb
Burlesque mit Harpy Fatale,"ab 55,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/YpJqTDS
Pole Dance Mittelstufe 3 zweistündig  Teil 2,"ab 55,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/SX0FzGK
 Exotic Dance Basics mit Agata ONLINE,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/7uJPxgC
 Exotic Dance Basics mit Agata ,"ab 55,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/82dGR1f
Pole Dance Fortgeschrittene 1 Kurs ,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/kc1ALJw
  Pole Dance Anfänger 1 Kurs ,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/pDjMaOI
 Burlesque Anfängerworkshop mit Lady Lou,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/xUJF8zC
Burlesque Mittelstufenworkshop mit Lady Lou,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/kbdX4s8
 Twerk Basics Online,"ab 25,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/6mBM935
