Workshop,Kategorie,Datum,Land,Location,Pole Studio,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit,Preis,Einheiten
Lyrical Spinning Pole Choreo ab Beginner Plus,Poledance,"Samstag, 15. Februar 2025",,Gesamtticket,A heart for poledance,https://www.eversports.de/e/workshop/qBr13Wi,Workshop,,"Bist du bereit, deine Kreativität und Beweglichkeit auf eine neue Ebene zu heben? Wir laden dich herzlich zu unserem Lyrical Poledance Workshop ein! In diesem Workshop kombinieren wir die Eleganz des zeitgenössischen Tanzes mit der Kraft und Anmut des Poledance. Mitzubringen: Am Workshoptag bitte NICHT eincremen.",,14:30 - 16:00,"ab 35,00 €",1 Einheit
Chairdance Workshop,Poledance,"Sonntag, 9. März 2025",,16:00 - 17:30,A heart for poledance,https://www.eversports.de/e/workshop/VUscLq7,Workshop,,"Anmeldung zum Chairdance Workshop 💃🪑 Bist du bereit, deine Sinne zu wecken und deine Bewegungen zu verfeinern? Melde dich jetzt für unseren aufregenden Chairdance Workshop an! Egal, ob du Anfängerin oder bereits Erfahrung hast – dieser Workshop ist für alle, die Lust haben, sich kreativ auszudrücken und gleichzeitig fit zu bleiben. Was dich erwartet: Wir freuen uns darauf, mit dir zu tanzen und Spaß zu haben! ✨ Mitzubringen:",,16:00 - 17:30,"ab 40,00 €",1 Einheit
Twerk Workshop,Poledance,"Sonntag, 9. März 2025",,18:00 - 19:30,A heart for poledance,https://www.eversports.de/e/workshop/QVsCho-,Workshop,,"Bist du bereit, deinen Körper in Bewegung zu bringen und Spaß zu haben? Melde dich jetzt für unseren aufregenden Twerk Workshop an! Egal, ob du Anfängerin oder bereits Erfahrung hast – dieser Workshop ist für alle, die Lust haben, ihre Hüften zu schwingen und sich in einer positiven, unterstützenden Atmosphäre auszudrücken. Was dich erwartet: Wir freuen uns darauf, mit dir zu tanzen und Spaß zu haben! ✨ Mitzubringen:",,18:00 - 19:30,"ab 40,00 €",1 Einheit
Get Closer! - Lap Dance - in Quierschied - mit Alex,Poledance,"Sonntag, 2. Februar 2025",,Workshop 120 Minuten,Aerial Art Poledance,https://www.eversports.de/e/workshop/veYc5Bs,Workshop,,"Du willst sinnlich und selbstbewusst für deine:n Partner:in tanzen? Dann bist du hier genau richtig! Bei diesem Workshop zeige ich dir Lap Dance-Moves, sassy Pole- und sensual Floorwork-Elemente die jede:n schwach werden lassen. In einer sicheren Atmosphäre kannst du deine leidenschaftliche Seite entdecken und eintauchen.  Was zieh ich an? Alles ist erlaubt, egal ob Lack, Leder, Spitze oder doch dein Lieblings Poleoutfit, Knieschoner sind aber ein muss. Ich zeige dir auch einige Strip-Elemente, zieh gerne zwei Schichten an (T-Shirt/Hemd und zwei Unterteile). Du kannst gerne in Socken oder Heels tanzen. Brauche ich eine:n Partner:in? Komm gerne mit deiner Pole-Wify oder alleine. Grundsätzlich wird aber nach deinen Regeln gespielt. Du entscheidest was du probieren möchtest. Falls dein Pole-Wify zu schüchtern ist, dann nehme ich gerne Platz 😉 Was sollte ich noch wissen? Wir lernen keine typische Choreo. In diesem Workshop steht die Sinnlichkeit und Freiheit im Fokus. Aber keine Angst ich gebe dir genug Moves an die Hand damit du dich sicher und sexy fühlen kannst. Du hast noch Fragen? Dann schreib mir gerne @alexis.aerialart Ich freu mich auf dich!",,15:00 - 17:00,"ab 47,00 €",1 Einheit
Workshop: Invert Step by Step (Part II),Polesport,"Samstag, 25. Januar 2025",,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Loft,https://www.eversports.de/e/workshop/lc4qPOo,Workshop,,"Ein komplettes Invert Training Step by Step - Empfehlung für alle die im Level Pole Fitness All About Basics 2 sowie Mittelstufe sind. Dieser Workshop ist für alle geeignet die bereits an dem Workshop Invert Step by Step Part I teilgenommen haben und diesen noch festigen wollen. Du solltest also auf jeden Fall schon erste Erfahrungen mit dem Outsideleghang und auch Cruxifix haben.  Der Invert Step by Step Part 2 baut auf dem Part 1 auf. Wir empfehlen, dass zwischen den Workshops ein paar Wochen sind und du genug Zei hast an den Themen aus dem Invert 1 zu arbeiten, bevor du mit dem Invert 2 Workshop weiter machst. Hier wird am Streightleg Invert und weiteren Feinheiten gearbeitet. Zudem geht es bereits an weitere Leghangs und je nach Bedarf wird auch auf den Aerial Invert eingegangen. Zudem schadet es nie Basistechniken zu wiederholen! Der Invert ist eine der wichtigsten Grundlagen im Pole und ist die Basis für viele weitere Tricks. Neben einem hohen Maß an Kraft erfordert er auch eine gute Koordination & Körpergefühl. Du hast eine Mitgliedschaft bei uns? Bitte melde dich via Mail (info@aerial-loft.de oder WhatsApp +491733429658 an und du erhältst 10% auf die DropIn)",,13:30 - 14:30,"ab 18,00 €",1 Einheit
Workshop: Invert Step by Step (Part I),Polesport,"Samstag, 25. Januar 2025",,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Loft,https://www.eversports.de/e/workshop/_27c8QD,Workshop,,Ein komplettes Invert Training Step by Step - Empfehlung für alle die im Level Pole Fitness All About Basics 1 sowie Anfänger sind. In diesem Kurs lernst du mit der richtigen Technik und entsprechenden Vorübungen an der Pole Schritt für Schritt über Kopf zu gehen. Der Invert ist eine der wichtigsten Grundlagen im Pole und ist die Basis für viele weitere Tricks. Neben einem hohen Maß an Kraft erfordert er auch eine gute Koordination & Körpergefühl. Dieser Workshop ist für alle geeignet die kürzlich den Schnupperkurs abgeschlossen haben und sich noch besser auf den Wechsel zur Anfängerstufe vorzubereiten. Aber auch alle die bereits etwas länger dabei sind kommen hier sicher auf ihre Kosten um dem Invert noch ein bisschen mehr Eleganz und Leichtigkeit zu verleihen! Du hast eine Mitgliedschaft bei uns? Bitte melde dich via Mail (info@aerial-loft.de oder WhatsApp +491733429658 an und du erhältst 10% auf die DropIn),,14:45 - 15:45,"ab 18,00 €",1 Einheit
WORKSHOP: Chair Dance,Aerial Dance,"Sonntag, 26. Januar 2025",,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Loft,https://www.eversports.de/e/workshop/SZ3Nmsl,Workshop,,"​Was braucht man, um schön tanzen zu können? Graziöse, bezaubernde Körperbewegungen, ein gutes Rhythmusgefühl und, natürlich die Emotionen! Das Ganze lernen wir bei unserem Special Chair Dance Kurs mit Anastasiia. Statt an der Pole oder mit dem Hoop ist in diesem Training der Stuhl unser Tanzpartner. Du hast eine Mitgliedschaft bei uns? Bitte melde dich via Mail (info@aerial-loft.de oder WhatsApp +491733429658 an und du erhältst 10% auf die DropIn)",,14:45 - 16:15,"ab 36,00 €",1 Einheit
WORKSHOP: Pole Dance Flow (Alle Level),Poledance,"Samstag, 8. Februar 2025",,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Loft,https://www.eversports.de/e/workshop/gMXWpxg,Workshop,,"​Dieser Kurs ist die perfekte Ergänzung zu Pole Fitness. In den Flow-Kursen werden Bewegungen miteinander Verbunden und es wird eine schöne Routine auf Musik erarbeitet. Der Stil ist hier immer ganz unterschiedlich. Mal mehr Contemporary, Latin oder auch Sensual Sexy. In diesem Workshop hast du die Stange für dich allein. Hinweis zur Bekleidung: Bitte Knieschoner, Kniestrümpfe, lange und kurze Hose und T-Shirt mitbringen. Dazu Handtuch und Wasser einpacken und vor dem Training nicht eincremen. Du hast eine Mitgliedschaft bei uns? Bitte melde dich via Mail (info@aerial-loft.de oder WhatsApp +491733429658 an und du erhältst 10% auf die DropIn)",,13:00 - 14:15,"ab 27,00 €",1 Einheit
Workshop: Aerial Hoop Technik,Aerial Hoop,"Sonntag, 9. Februar 2025",,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Loft,https://www.eversports.de/e/workshop/uJkfYKT,Workshop,,"Finetuning und mühelos aussehende Bewegungen im Hoop? Das Rezept hierfür sind im schlaf sitzende Grundlagen und eine Technik die dich in der Ausführung möglichst wenig Kraft kostet. In diesem Workshop geht es darum, die wichtigen Basic Moves im Detail noch einmal durchzugehen und auch individuelle Lösungen für einen Kraftsparenden Einstieg und sicheren Abgang zu finden. Dazu gehören auch Vorübungen, um für die Shapes Kraft und Flexibilität aufzubauen. Im Fokus sind Straddle, Pike Mount, Upswing, Amazon, Gazelle oder Single Leg Hang. Eine gute Technik hilft auch, dass Du langfristig verletzungsfrei und sicher in und aus deinem Hopp kommst und dein Selbstvertrauen weiter ausbauen kannst. Du hast eine Mitgliedschaft bei uns? Bitte melde dich via Mail (info@aerial-loft.de oder WhatsApp +491733429658 an und du erhältst 10% auf die Teilnahme)",,14:45 - 16:15,"ab 27,00 €",1 Einheit
Twerkshop by Maddie,Hip Hop,"Samstag, 22. Februar 2025",,"Solitudestraße 48, 71638 Ludwigsburg",Aerial Loft,https://www.eversports.de/e/workshop/_WWLiPN,Workshop,,"Hinweis zur Kleidung: Lässige und lockere Sportkleidung, Turnschuhe bzw. Sneaker (helle Sohle), wenn möglich bitte Knieschoner - dazu bitte Wasser und Handtuch mitbringen. Der Fokus beim Twerken liegt ganz klar auf dem rhythmischen Bewegen des Po's. Twerk hat sich die letzten Jahre als eigene Tanzrichtung entwickelt und erhält immer mehr Zuwachs in der Community und Anerkennung in der Tanzszene. Von kraftvollen und intensiven Twerk Kombinationen hat die Tanzrichtung auch eine sinnliche und weiche Seite. Der Workshop hat zwei Themen, zum ersten die Basics, wie funktioniert was und wie werden die Basics kombiniert. Mit dem Fitness Programm Twerxout® (Twerk&Workout) kombinieren wir die Basics zu rhythmischen Songs um eine Routine der Technik zu entwickeln. Das zweite Thema ist dann die Twerkography (Twerk&Choreo) hierbei geht es um den tänzerischen Part- ein Song, eine Choreo. Neben der Technik werden Ausdauer, Körperbeherrschung, Flexibilität und das Mindset gesteigert und gefördert. Twerk ist ein allround Workout was man nicht mehr missen möchte. Tolle Nebeneffekte wie Stärkung des Selbstbewusstsein und eigene Sinnlichkeit entdecken sind inklusive. Begrenzte Teilnehmerzahl, so dass es während des Workshops nur eine Gruppe geben wird und du volle 90 Minuten Zeit auskosten kannst. Du hast eine Mitgliedschaft bei uns? Bitte melde dich via Mail (info@aerial-loft.de oder WhatsApp +491733429658 an und du erhältst 10% auf die Teilnahme)",,11:45 - 13:15,"ab 27,00 €",1 Einheit
