,URL_S
0,https://www.eversports.nl/s/studio-aeris
1,https://www.eversports.de/s/schoenheitstanz-studio
2,https://www.eversports.de/s/poledance-nrw
3,https://www.eversports.de/s/ima-intentional-movement-academy
4,https://www.eversports.de/s/dance-%26-pole-h%C3%BCckeswagen
5,https://www.eversports.de/s/pole-dream
6,https://www.eversports.ch/s/dayuma-pole-and-acrobatics
7,https://www.eversports.de/s/polefriends
8,https://www.eversports.de/s/happy-pole-place
9,https://www.eversports.de/s/dance-department
10,https://www.eversports.de/s/nordpole-studio
11,https://www.eversports.de/s/stadtgazellen-osnabr%C3%BCck
12,https://www.eversports.de/s/polestation-academy
13,https://www.eversports.ch/s/polerinas-gmbh
14,https://www.eversports.de/s/dance-%26-pole-solingen
15,https://www.eversports.ch/s/moving-lions-polefitness-gmbh
16,https://www.eversports.de/s/pole-dance-studio-n%C3%BCrnberg
17,https://www.eversports.de/s/vanilla-sky-pole-atelier
18,https://www.eversports.de/s/pole-place-imst
19,https://www.eversports.ch/s/royal-pole
20,https://www.eversports.ch/s/loft1-zurich-hardbrucke
21,https://www.eversports.de/s/home-of-pole
22,https://www.eversports.de/s/pole-faction-pole-dance-&-fitness
23,https://www.eversports.de/s/dance-&-pole-deltawerk
24,https://www.eversports.at/s/inflow-or-poledance-fitness-and-yoga
25,https://www.eversports.de/s/tsg-blau-gold-ballett-und-pole-dance-studio
26,https://www.eversports.de/s/dunya-pole-dance-school
27,https://www.eversports.de/s/flexx-arts-memmingen
28,https://www.eversports.de/s/pole-%40-bremerhaven
29,https://www.eversports.de/s/pole-plus
30,https://www.eversports.de/s/pole-sport-coburg---akrobatik-%26-tanz-
31,https://www.eversports.at/s/polestation-academy
32,https://www.eversports.de/s/pole-dance-studio-passion-hannover
33,https://www.eversports.de/s/pole-bijou
34,https://www.eversports.de/s/pole-studio-koblenz
35,https://www.eversports.de/s/wonderpole
36,https://www.eversports.de/s/polemotion-freiburg
37,https://www.eversports.de/s/bodysoul-studio-duesseldorf
38,https://www.eversports.de/s/vertical-pole-aerial-dance-w%C3%BCrzburg
39,https://www.eversports.at/s/indeed-unique-studio-wien
40,https://www.eversports.de/s/pole-dance-academy-neuburg
41,https://www.eversports.de/s/center-of-moving-arts
42,https://www.eversports.de/s/janardana-yoga
43,https://www.eversports.de/s/bodysoul-studio-d%C3%BCsseldorf
44,https://www.eversports.de/s/lespole
45,https://www.eversports.de/s/feel-good-factory-pole-stretch-fly
46,https://www.eversports.de/s/munich-poledance
47,https://www.eversports.de/s/pole-box
48,https://www.eversports.de/s/vertical-pole-aerial-dance
49,https://www.eversports.de/s/bodysoul-studio-düsseldorf
50,https://www.eversports.de/s/airobics---pole-%26-aerial-dance-hamburg
51,https://www.eversports.de/s/exquisuite
52,https://www.eversports.de/s/janine-hollung
53,https://www.eversports.de/s/annis-pole-dance-neumuenster
54,https://www.eversports.de/s/star-poledance
55,https://www.eversports.de/s/passionate-pole-and-sports
56,https://www.eversports.de/s/poleroom-braunschweig
57,https://www.eversports.de/s/x-step-berlin
58,https://www.eversports.de/s/mmc-dance-&-event-studio
59,https://www.eversports.fr/s/le-jade-studio
60,https://www.eversports.de/s/seemannsbraut-poledance-flensburg
61,https://www.eversports.at/s/aerialistic-body-and-soul
62,https://www.eversports.de/s/poleside
